Study_ID,First_Author,Year,Title,DOI,OODA_Phase,CRISP_DM_Phase,OODA_CRISP_Label,NIH_AI_Score,Has_Performance_Metrics,Has_External_Validation,Has_Explainability,Has_Model_Transparency,Has_Bias_Fairness,Has_Clinical_Utility,Has_Safety_Monitoring,Has_Regulatory_Ethics,OP_Perf_Tags,Has_PDF,Notes
2374,Jothi,2021,Predicting generalized anxiety disorder among women using Shapley value.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
1869,García-Barceló,2025,Prediction of Metastasis in Paragangliomas and Pheochromocytomas Using Machine Learning Models: Explainability Challenges.,,decide,modeling,decide:modeling,5,Y,N,Y,Y,N,Y,N,N,human_resources|improved_patient_outcomes,,
8915,Soliman,2023,"The Price of Explainability in Machine Learning Models for 100-Day Readmission Prediction in Heart Failure: Retrospective, Comparative, Machine Learning Study.",,decide,modeling,decide:modeling,5,Y,N,Y,N,N,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
855,Tsay,2024,Pain prediction model based on machine learning and SHAP values for elders with dementia in Taiwan.,,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,,,
2476,Netayawijit,2025,Interpretable Machine Learning Framework for Diabetes Prediction: Integrating SMOTE Balancing with SHAP Explainability for Clinical Decision Support.,,decide,evaluation,decide:evaluation,8,Y,Y,Y,Y,N,Y,N,N,human_resources|improved_patient_outcomes,,
819,Zhu,2025,Development and validation of the machine learning model for acute exacerbation of chronic obstructive pulmonary disease prediction based on inflammatory biomarkers.,,decide,evaluation,decide:evaluation,7,Y,Y,Y,N,Y,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
781,Artamonov,2026,Interpretable Machine Learning with SHAP Identifies Key Biomarkers in a Multi-Factorial Spectrum of Age-Related Neurological and Metabolic Conditions.,,decide,evaluation,decide:evaluation,7,Y,N,Y,N,Y,Y,Y,N,human_resources|improved_patient_outcomes,,
8714,Yang,2022,Feature Genes in Neuroblastoma Distinguishing High-Risk and Non-high-Risk Neuroblastoma Patients: Development and Validation Combining Random Forest With Artificial Neural Network.,,decide,modeling,decide:modeling,4,Y,N,Y,N,N,N,N,N,process_throughput|improved_patient_outcomes,,
8893,Tsai,2023,Risk Prediction Model for Chronic Kidney Disease in Thailand Using Artificial Intelligence and SHAP.,,decide,evaluation,decide:evaluation,3,Y,N,Y,N,N,N,Y,N,human_resources|improved_patient_outcomes,,
813,Chen,2026,Explainable Prediction of ICU Transfer in Acute Pancreatitis: A Neural Network Model With SHAP Interpretability for Clinical Decision Support.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
830,Ahosan,2025,Improving Hepatitis B outcome prediction with ensemble machine learning: A study on predictive models and interpretability.,,decide,evaluation,decide:evaluation,7,Y,N,Y,Y,Y,Y,N,N,human_resources|process_throughput|improved_patient_outcomes,,
785,Abbas,2025,Interpretable machine learning models for beta thalassemia prediction: an explainable AI approach for smart healthcare 5.0.,,decide,evaluation,decide:evaluation,3,Y,N,Y,N,N,Y,N,N,human_resources|cost|improved_patient_outcomes,,
796,Wang,2025,Leveraging laboratory biomarkers to predict urosepsis after upper urinary tract stone surgery: an explainable machine learning approach.,,decide,evaluation,decide:evaluation,7,Y,Y,Y,N,N,Y,N,Y,human_resources|cost|process_throughput|improved_patient_outcomes,,
9,Agrawal,2025,Fostering trust and interpretability: integrating explainable AI (XAI) with machine learning for enhanced disease prediction and decision transparency.,,decide,evaluation,decide:evaluation,5,Y,N,Y,N,Y,Y,N,N,process_capacity|human_resources|process_throughput|improved_patient_outcomes,,
26,Gong,2022,An Explainable AI Approach for the Rapid Diagnosis of COVID-19 Using Ensemble Learning Algorithms.,,decide,modeling,decide:modeling,7,Y,Y,Y,N,N,Y,N,N,human_resources|improved_patient_outcomes,,
11,Mohyeldin,2025,"Artificial Intelligence in Hypertrophic Cardiomyopathy: Advances, Challenges, and Future Directions for Personalized Risk Prediction and Management.",,decide,modeling,decide:modeling,11,Y,Y,Y,Y,Y,Y,Y,Y,human_resources|improved_outcomes|improved_patient_outcomes,,
2378,Stephan,2025,Development and validation of prediction models for stroke and myocardial infarction in type 2 diabetes based on health insurance claims: does machine learning outperform traditional regression approaches?,,decide,modeling,decide:modeling,5,Y,Y,N,N,N,N,Y,N,cost|improved_patient_outcomes,,
786,Farooq,2026,Explainable machine learning for predicting opioid-related aberrant behavior: A multimodal approach using clinical text and structured data.,,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,improved_patient_outcomes,,
1885,Yu,2025,Sarcopenia prediction model based on machine learning and SHAP values for community-based older adults with cardiovascular disease in China.,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,N,Y,N,N,human_resources|improved_patient_outcomes,,
837,Wang,2025,Interpretable machine learning models for prolonged Emergency Department wait time prediction.,,decide,evaluation,decide:evaluation,7,Y,N,Y,N,Y,Y,Y,N,process_throughput|improved_process_performance|improved_patient_outcomes,,
836,Zhang,2025,An interpretable deep-learning approach to detect biomarkers in anxious-depressed symptoms from prefrontal fNIRS signals during an autobiographical memory test.,,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,improved_patient_outcomes,,
826,Zhang,2025,Enhancing diabetes risk prediction through focal active learning and machine learning models.,,decide,modeling,decide:modeling,5,Y,N,Y,N,Y,N,Y,Y,human_resources|improved_outcomes|improved_patient_outcomes,,
